AFMD,1.85,-0.83826,-0.73569,0.82848,-1356.219,0.0564,-0.84877,-0.85062,-33.10084,-1504.627,1.04728,12.2807,,5.60256,12.93898,5.5704,22.7018,-53.6105,11.37292,-37.20201,,-37.17741,-1503.632
AG,7.89,0.19189,-0.03915,4.52502,-28.14085,1.95152,-0.08337,-0.41444,87.94413,-29.84724,1.00576,-3213.248,,3.13854,4.19856,2.79172,7.05151,-7.56385,0.41017,-97.00275,36.87175,-68.62499,-21.11555
AGEN,4.71,-1.16762,-0.9893,-1.11371,-242.0907,0.43575,-1.22845,-1.2204,-97.79511,-281.4848,0.59177,-16.03099,,1.30326,,1.30185,,49.82631,21.85253,-120.6925,,-120.898,-281.4849
AGI,6.7,0.63573,-0.00835,8.87666,9.6168,2.26725,0.12633,0.11482,233.9371,4.0899,0.66479,81.95255,,4.1865,0.12308,2.67573,0.27973,22.31467,27.10412,28.59804,38.98305,34.26612,4.90052
AGRX,2.57,-0.91429,-0.83644,1.0625,,0,-0.91478,-0.92449,-26.787,,1.05165,-0.84057,,2.57245,0,,29.20188,,,-28.304,,-28.304,
AGFS,7.35,1.0172,0.55265,-7.14424,24.86374,3.27679,0.12893,0.12619,85.139,11.57317,1.28192,109.1331,,1.88884,98.83009,1.6342,100.7745,4.76458,,18.983,80.09157,6.471,4.00059
AGS,23.26,0.54192,-0.39571,-15.28087,2.58074,6.228,-1.26035,-1.55951,90.636,-22.17216,0.54597,21.62575,,1.89177,,1.33241,,34.89531,29.34092,-46.995,75.6604,-53.206,-25.1025
AGYS,11.92,-0.03324,-0.70208,1.45326,-11.97322,5.53579,-0.47098,-0.6479,0.364,-8.99529,1.60731,-84.23588,,1.47582,0.0462,1.42455,0.15063,-6.39201,9.24622,-14.883,50.15091,-14.727,-11.69682
AHC,5.15,1.14831,-1.575,3.66404,-4.04342,11.44519,0.72663,0.62677,4.505,1.56902,2.65236,186.4291,23.01199,2.96872,0,2.87678,0,-3.05318,-2.4131,3.901,90.52352,13.611,5.52275
AIPT,1.1,-0.94302,-0.66026,0.35063,-977.2545,0.09778,-2.31145,-0.94135,-5.53656,-1429.575,0.31935,49.9371,,2.71295,0,2.51672,0,13.31996,36.41332,-5.61032,79.06252,-5.61032,-977.2545
AIHS,5.9499,-0.01497,0.01649,-0.01719,-379.391,0.00726,-0.0128,-0.03565,-0.78334,-696.0267,0.00334,-55.87893,,0.10575,0,,0,412.223,,-1.43535,,-1.43535,-378.7603
AIRG,7.74,0.21721,-0.05209,3.94393,1.95716,4.98239,0.11015,0.11342,1.98685,2.35645,3.8297,-48.96657,,4.73609,0,4.65988,2.88444,1.43522,22.16813,1.16695,47.05504,1.14125,2.30457
AIV,40.75,2.48412,-1.45012,10.58051,19.2934,6.41708,0.09395,-0.05556,596.048,1.53108,0.48849,-1065.937,,,241.8162,,245.8543,2.29906,0.96051,15.394,64.80386,-8.592,3.1455
AKAM,70.98,3.57031,2.23613,9.4811,12.63362,14.49235,1.76482,1.41214,766.789,12.62974,4.19049,-49.46442,4.73715,2.82143,20.02321,,20.02321,7.68157,12.74519,316.122,65.01161,244.321,9.76114
AKER,0.8299,-0.54077,-0.58418,0.31154,-134.8463,0.4273,-0.60836,-0.56903,-4.06009,-111.5718,0.01632,-335.2398,,2.51822,0,1.19954,0,10.21363,,-4.2894,61.93028,-4.2894,-134.2897
AKS,4.53,1.0987,0.14543,-1.65997,3.61812,19.09855,0.27351,0.11233,545.7,0.83217,0.12068,-16.85757,,1.83207,,0.68541,,5.42789,0.48998,50.6,11.85429,38.3,1.63967
ALB,92.74,5.63912,-1.37788,14.85966,19.1326,27.43583,4.22287,4.25367,784.677,14.54432,10.28796,390.7701,4.31776,2.06305,38.51792,1.56944,50.00265,23.12967,4.04773,446.798,36.13244,474.35,14.14337
ALBO,32.57,-3.23194,-3.67963,5.39079,-2457700,0.00013,-3.12227,-3.12227,-24.542,-2420200,5.97914,94.32777,,6.93795,0,,0,-100.0088,,-24.202,,-24.414,-2441400
ALCO,27.2,0.53858,2.33407,20.25248,-6.43719,15.60096,-1.30948,-1.25483,6.437,-10.27659,0.11492,-46.50482,,5.39237,110.9795,2.69305,113.6815,0.50444,0.41204,-14.005,5.20255,-10.27,-7.93968
ALDX,7.5,-1.40099,-1.26978,2.40118,,0,-1.6472,-1.4094,-20.05559,,2.50611,16.40282,,20.27618,1.97201,,2.90113,,,-20.03751,,-20.03751,
ALGT,172.55,15.07568,-13.90081,34.10515,15.10655,93.72691,8.81188,7.52214,384.136,13.00365,25.65167,-75.83785,12.94371,0.98381,173.3983,0.95174,212.5921,12.70532,10.5989,195.546,68.86881,120.164,7.99081
ALIM,1.03,-0.28838,-0.19575,-0.05416,-45.81198,0.53613,-0.3284,-0.32762,-13.768,-60.80976,0.34806,-14.45163,,4.06597,231.7045,3.91004,232.9379,-14.3767,,-21.838,90.4266,-22.001,-61.26364
ALK,61.96,9.09451,3.35996,13.36739,15.88302,64.07347,6.68298,6.0784,1750,15.21492,13.17237,-17.09853,22.56493,0.79481,60.79011,0.7737,69.04058,28.74016,11.24135,1207,30.69457,754,9.5046
ALJJ,2.1,0.85705,0.1913,-0.2783,3.01202,9.3947,0.43327,0.37626,27.639,0.99444,0.05388,-310.0454,49.63262,1.57434,109.0271,1.36789,121.7662,22.3366,,0.691,22.85158,13.904,4.04121
ALLT,19.23,-1.51766,-0.32262,11.34182,-20.46053,8.63901,-1.6668,-1.90442,-33.78872,-20.13367,11.44049,-560.7662,,4.54831,,4.29764,,-1.23047,-4.78139,-57.83743,66.35403,-63.31706,-22.04117
ALNY,119.1,-5.27498,-5.37979,17.72341,-556.1971,0.99325,-5.42079,-5.40951,-486.721,-545.9493,16.96274,-12.45325,,12.23381,1.69834,,1.69834,117.2797,6.14653,-490.874,,-490.874,-545.9493
AMBA,48.99,0.60477,,13.24987,8.27042,8.54179,0.54512,0.547,27.755,8.70983,13.05231,-93.15466,-1.96937,9.26597,,8.82673,,-19.35023,19.53037,25.729,63.5517,18.852,6.38181
ALTR,31.36,-1.12697,0.10679,-0.38309,-9.97711,5.51959,-1.32151,-1.3215,-21.509,-10.92331,0.62013,-791.0283,,0.72868,0.2828,0.71866,0.65138,8.47214,,-36.411,68.02267,-79.807,-23.94212
ALXN,111.46,4.38328,3.37172,-0.44399,17.66776,15.78968,2.70705,2.17255,1259.7,15.42621,6.63113,-15.9343,11.06929,3.10121,34.44918,2.61785,36.33154,9.55293,25.64385,547.8,87.2096,489.1,13.7732
AMAT,55.61,3.98054,3.12419,4.54857,27.53023,14.33086,3.33686,3.58541,4807,25.66554,7.09905,64.16389,106.0172,2.96181,62.36774,2.25142,62.36774,28.24893,10.76476,4122,45.31462,3866,25.00162
ALQA,1.94,-8.68802,-2.54505,-1.61672,-139.1055,4.58887,-8.23427,-9.0615,-10.814,-146.1794,0.43742,10.36615,,0.4406,0,0.3492,69.75809,22.82242,73.94379,-28.6,61.24201,-42.457,-217.0049
ALSN,39.06,3.48697,3.17301,-17.17969,28.82405,15.11022,2.5604,2.34958,854,23.29797,1.42152,21.04736,-3.20346,1.51559,367.7794,1.14628,369.521,25.39987,1.09804,527,50,352,15.56145
ALSK,1.8,0.64461,-0.04822,2.92272,4.92717,4.30975,0.05121,-0.04327,55.074,-1.60684,0.08289,-44.58374,,1.07794,110.0574,0.95517,121.1505,-4.94524,-9.20399,-3.646,53.89965,-2.25,-1.04846
AMC,14.05,-0.54901,-1.34679,-25.06243,2.00543,39.62552,-4.2084,-4.68237,747.4,-6.55812,2.42868,-1171.255,,0.61899,227.0963,,231.2464,52.9863,,-333.1,63.42793,-609,-11.98536
ALV,145.94,8.30778,1.67683,25.07471,5.82995,118.354,6.46755,4.85818,1265.3,4.87835,11.02874,-56.83838,-0.84044,1.58393,32.75507,1.2603,33.24329,4.81604,4.66339,506.5,20.69809,427,2.91834
ALT,1.16,-2.89663,,0.54991,-484.6686,0.78512,-2.18722,-3.57327,-16.02397,-484.8409,0.4844,-26.08696,,6.11138,,,0.1021,159.056,-15.66841,-52.06377,,-51.35541,-432.3338
AMCX,51.7,22.40534,4.65715,-38.25383,25.63914,42.74573,7.01716,6.10773,1826.835,22.82425,9.14763,507.1894,26.66066,2.52633,2316.171,,2319.763,-0.365,15.71125,640.379,53.96229,403.417,15.03152
AMD,10.05,-0.88281,-0.04244,0.08583,3.60293,5.02617,-1.07122,-0.83946,290,1.2948,1.22544,-1393.533,,1.76447,216.8576,1.26716,228.3142,33.81555,-0.34542,69,34.20904,-1087,-20.26647
AMDA,1.5201,-1.48808,-2.68761,0.4937,-75.73323,4.47755,-13.20175,-1.92949,-8.153,-96.95915,0.93181,88.53032,,0.68908,0,0.49989,44.1954,-12.4926,-5.55412,-5.408,68.71836,-5.408,-43.4552
AMGN,170.48,13.66565,9.7351,2.5907,43.64742,31.11883,11.41218,10.99907,11928,42.00184,57.70978,-2.89169,14.41329,5.48514,135.4542,5.17095,140.0182,-2.73261,5.76455,9597,82.19178,8079,35.35822
AMKR,10.13,3.36309,0.28117,6.86623,9.48022,17.48421,0.59774,0.91412,875.144,7.25834,2.49333,-41.03617,39.80479,1.21228,74.40534,0.97253,81.83327,12.41272,8.69326,303.87,18.08846,219.152,5.33463
AMMA,0.455,-0.64566,-0.4842,0.03375,-224.0292,0.37938,-0.7534,-0.82567,-6.3766,-831.0294,0.08439,-86.89711,,1.17919,0,,0,,,-7.86903,35.47407,-7.881,-224.4596
AMRH,1.64,-0.36891,-0.10494,-1.25747,-20.70514,3.43336,-0.13394,-0.56246,-6.93913,-18.05241,0.05846,-148.852,,0.36248,23.15528,,57.34509,24.56982,,-10.4936,20.72553,-8.30769,-13.62057
AMRK,12.25,0.66172,-1.27204,7.18074,0.06434,971.9678,0.99502,0.4807,4.819,0.1543,1.70818,-114.7692,-6.21032,1.09371,9.89234,0.34227,518.9556,-20.95707,-2.12569,4.441,0.42933,2.459,0.03725
AMSWA,13,0.83931,-0.41416,2.34368,12.79583,3.55696,0.22455,0.63665,19.998,20.33664,2.56434,92.58282,3.38927,2.27029,0,,0,13.90265,0.70134,29.204,55.30445,19.963,18.21342
AMZN,1447.34,27.97147,13.20224,29.66736,2.30904,362.4371,4.55172,4.57706,15585,2.13981,64.02066,40.00286,,1.03998,89.2959,0.76275,111.3862,38.20672,23.82841,3806,37.06779,2245,1.26444
AN,46.78,5.59613,2.34276,2.92159,3.91649,219.3491,3.4932,3.99713,924.2,2.95571,0.75579,2.71756,9.54954,0.85127,82.69109,0.25408,182.8177,3.70404,6.56815,636.5,15.59815,390.8,1.81475
ANAB,104.08,-1.12768,-0.99798,12.92846,-287.81,0.50587,-1.13613,-1.29428,-28.598,-300.7,10.44122,117.3027,,17.93442,2.45561,,4.6908,8.93246,,-30.07,,-22.475,-224.75
ANDE,33.1,1.95979,-4.25313,24.5456,-1.06135,130.1239,0.51266,-1.09454,117.281,-0.55678,1.23097,-137.7906,,1.35263,51.31722,0.47448,60.66521,-9.79134,-6.90552,-20.525,8.64811,-30.991,-0.83801
ANET,255.3,6.25351,7.77648,22.54788,28.56737,20.76997,6.00514,5.96631,490.912,28.84,20.83351,146.2222,72.95527,4.27705,2.26684,3.63478,2.26684,42.65586,53.46201,474.76,64.49873,474.2,28.85464
ANF,24.21,1.1746,,18.23917,2.06288,50.56172,0.50332,0.35006,241.382,1.57933,9.91776,90.78733,-32.85348,2.49147,20.09741,1.65531,20.09741,15.12935,-4.9874,55.161,59.66295,26.994,0.87111
ANGI,13.58,-0.30363,0.04382,-0.22061,-20.08064,2.15318,-0.3161,-0.29907,-110.067,-20.86311,0.46343,-226.4579,,1.53401,26.20527,,27.67163,191.1423,36.42946,-153.633,95.37294,-136.118,-18.67594
ANSS,156.69,3.94833,4.73539,8.42903,35.67478,12.61021,3.26283,3.16957,470.106,36.12819,10.47358,-0.75285,8.13964,2.08735,0,,0,11.71645,6.53691,395.694,86.28952,275.251,25.13134
ANIP,58.22,3.45824,2.49576,-4.87693,16.01938,15.19294,1.12624,1.0589,57.161,9.24498,2.67068,458.0032,,3.35487,113.3889,2.39314,115.3076,23.76914,54.06877,16.349,55.30926,12.322,6.96893
ANTH,0.3194,-2.83406,-3.5942,-0.39662,,0,-2.85813,-3.30501,-36.151,,0.1585,74.26917,,0.67735,,,,,,-26.874,,-29.377,
ANY,1.0034,-4.04312,-1.82832,-5.98651,-29.33528,16.40081,-4.93037,-6.00709,-15.304,-34.12043,0.64615,69.24303,,0.38691,0,0.26372,428.252,-0.29376,188.2675,-27.816,30.27857,-26.184,-32.11854
AOI,26.05,-1.07927,2.36157,21.56984,6.42795,201.5692,-7.79471,-4.00768,144.617,-2.31182,21.38963,73.59352,,2.00213,340.8655,0.78632,539.8275,5.11468,-4.43002,-14.084,13.19193,-35.977,-2.38232
AOSL,15.45,1.57129,-2.42498,10.69387,3.59462,16.0169,0.55704,0.66327,42.691,3.36832,6.11548,43.37603,2.00317,2.11779,0.16064,1.4339,0.46331,9.72573,2.29091,14.166,25.84604,16.566,2.73321
APD,159.03,9.79334,-1.14312,41.08627,18.30855,38.74821,6.66197,5.65994,2724.2,17.29567,14.29483,43.4614,2.0901,2.92395,33.42927,2.68765,34.39253,17.74768,-3.15632,1534,29.5082,1244.9,14.85854
APPS,2.01,-0.24676,-0.00369,-0.27022,-7.33142,1.68052,-0.36195,-0.31563,-2.671,-26.65997,0.09387,-35.68668,,0.83822,9.64108,,12.4122,70.65739,66.15249,-22.597,24.07134,-21.357,-18.66234
APPN,25.18,-0.51075,-0.17208,0.75122,-17.99906,3.1809,-0.59084,-0.58579,-30.925,-17.11356,1.21713,,,1.5268,0,,0,,,-30.246,63.45021,-29.264,-16.35594
APPF,40.85,0.63938,0.47642,1.7365,6.49152,4.10195,0.27641,0.27659,22.034,6.7968,1.35102,290.4438,,2.25167,0,,0,35.29811,62.46201,9.774,61.55643,9.716,6.75647
APRI,0.4061,-0.97817,-0.88125,0.28724,,0,-0.95232,-1.06612,-10.541,,0.41604,-319.6411,,4.16425,0,,0,,,-11.734,,-11.734,
