CRBP,5.25,-0.69029,-0.46905,1.147,-1763.295,0.03983,-0.64615,-0.69021,-36.66917,-1328.646,1.24179,-28.90159,,7.24814,0,,0.31836,-26.5332,,-36.65157,,-36.65157,-1747.86,-32.56281,-32.42161,2.1375,11.85666,,78.8917,-0.12489,-0.6461455,44615.75,-67.17315,,297.141,,-11.86496,-95.6911,1.147,-27.75861,-70.747,-32.42161,0.0486319,-1747.86,,-779820.6,,141.7022,0,70.95565,,2.09694,0.05727,10.48535,77.13972,-0.70743,,0,-23.0861,-1.59931,-24.6968,-57.38146,-66.32876,-25.33674
SPH,23.51,3.08171,-0.77627,-10.71731,10.599,21.57571,0.64254,1.02991,272.081,3.23718,0.09351,26.81456,106.7064,1.40845,204.1427,1.11107,204.1427,19.0209,2.23766,63.059,56.46206,63.649,4.787223,119.994,39.5433,0.63478,,17.58592,,-35.9,0.6173832,412778.6,9.399147,1.88321,1445.483,154.737,122.534,1.881797,10.24775,-5.16609,1278.832,40.021,19.30204,4.74285,,19423.47,1.53,1.08719,0,5.742,11.64293,1329.56,51.714,1540.053,2227.981,-28.168,3.5205,10.20842,127.3532,80.695,-47.836,2.821405,3.06055,17.24525
BWA,44.24,5.75894,2.065,7.28087,10.985,48.28743,3.85932,3.55366,1686.6,10.85384,1.94343,19.80459,10.06969,1.51761,54.50431,1.18912,59.46506,15.67511,6.40828,1109.4,21.56516,749.3,7.80221,1077,816.4318,1.83865,-55.2,25.74887,-100,119.5,2.079433,350917.3,20.48919,116.2294,9120.52,442.7,336.1,6.947659,18.55058,-15.40117,1915.8,1208.4,46.32187,10.90148,20.95708,27379.31,-0.5,0.89622,194,409.7,10.9545,10176.6,-104.6,4844.3,10034.8,-560,0.48,1.537071,444.0719,34.7,435.2,8.30609,11.06674,10.50231
DHXM,1.95,0.23599,-0.0006,-3.32596,6.51903,3.17136,0.12654,-0.08345,97.261,-0.5902,0.35994,-206.4222,,1.6923,217.5718,1.04768,253.4301,48.67959,32.68047,-2.709,44.28896,-10.758,-1.38594,,16.96385,0.2965,,,,,,915290.9,-3.1543,1.96651,356.8796,,,,2.51763,-42.71416,808.191,29.926,,-0.63787,,-12685.34,,0.84032,,,1.29208,424.695,,,,,,3.097436,-187.5656,,-0.08,-0.48695,-0.66814,48.28891
SPA,19.44,0.39446,-0.83678,3.60163,1.98809,38.50626,0.13422,-0.97279,20.988,0.81597,0.08053,43.122,-32.59415,2.659,136.5331,1.37571,136.8405,-1.54282,11.91404,2.224,19.66029,-9.5735,-2.52662,7.681,1.317,1.40255,,51.09262,0,17.835,0.1342197,221582.5,-12.75285,1.40988,190.3019,5.554002,2.314,0.7602829,7.21027,-17.63891,96.243,3.244,40.51682,0.58695,,-5598.538,0.009,0.50224,0,0.792,4.66839,378.906,-22.973,148.035,224.607,-6.896,,0,77.54295,-17.476,-8.234,-4.2352,-5.51036,-5.30735
SPB,86.09,8.631307,3.83828,-39.2844,8.50358,69.47613,6.47046,5.04596,680.1,6.88181,2.44252,-98.19943,40.64109,2.7586,254.5068,2.2227,255.7043,1.269,9.01361,150.4,37.06263,293.4,7.285424,555.7,381.7573,0.85354,-250.1,83.56789,-252.5,339.1,5.013559,240375,16.82195,2.56388,4687.271,104.9,41.8,4.859697,30.62539,-25.17072,4199.5,444.3,84.87119,3.72434,21.00973,9845.238,-7,1.18006,0,135.2,3.51341,4038.3,33,6152.1,7576.8,-115,1.26,1.951446,23.2884,-49.7,223.1,4.001034,4.642172,1.7204
VRTS,130.8,10.04394,-32.19204,19.63522,14.86862,60.3935,6.72733,6.35829,105.373,18.89748,28.55749,56.12064,4.35293,5.21979,295.3414,,295.3414,61.73787,8.72852,92.601,,52.049,13.29258,59.67,48.75299,1.51684,0.698,,213.1,-0.65,5.764592,874510.1,8.964884,,929.6067,,23.936,3.359298,84.34944,11.07243,1591.888,91.009,58.72871,19.50074,,116244.9,-20.302,1.988045,0,206.112,,474.859,596.889,1866.643,2538.209,-1.511,1.35,1.376147,-1.50203,-61.755,-253.118,3.55448,3.74512,47.45571
VRTU,50.62,1.192192,1.49878,4.47351,4.54476,34.368,0.76384,-0.0001300052,73.90799,4.09888,8.13803,-53.6981,-9.29579,2.535,54.83573,,57.00593,24.5081,25.09574,41.836,28.92456,0.1749998,1.15924,48.796,22.45485,1.16027,1.913002,65.0478,82.746,170.941,0.6800272,49810.6,0.03822394,7.14054,1478.161,23.20701,17.367,3.984153,17.76395,12.19298,58.837,41.836,34.71976,4.09888,33.20889,1544.483,-51.644,1.467469,0,240.797,,1020.669,114.78,529.28,1113.18,-16.096,,0,-100.0338,8.518002,44.511,1.161937,1.489525,18.85783
VRTV,40.35,3.74165,1.59084,23.79114,-0.01889,539.0455,3.62675,0.21402,124.5,-0.02271,4.48101,-614.9764,3.64507,2.42819,213.8367,1.60325,215.6035,5.3344,6.82829,-16,17.99412,3.3,0.03896,29.3,56.94,0.44743,,108.669,0,33.2,-0.8471338,951809,0.60897,2.02346,620.1105,15.70001,-8.400001,-0.7784835,34.03165,36.40517,1088.5,59.7,532.7834,-0.18888,24.80442,370.7865,0,0.0732,0,70.8,9.67319,8471.1,107.7,2028.9,2700.9,-32.5,,0,-77.54344,-21.7,25,0.12746,0.18747,2.04423
ITUS,3.27,-0.40789,-0.25799,0.26606,-606.2158,0.06999,-0.70116,-0.43014,-5.85245,-1381.79,0.3218,-600.4854,,4.2683,0,,0,,-17.35147,-6.8382,,-6.79682,-614.6697,,-8.55227,-0.70104,,,,,,158928.6,-140.7824,-65.98331,53.21981,,,,0.36001,35.36952,-5.42245,-6.54349,,-614.6697,,-976885.7,,47.83803,,,,1.1125,,,,,,,32.8368,,-4.1008,-93.60761,-141.6395,270.8333
AGLE,10.22,-1.80862,-1.697,2.61278,-516.2073,0.35945,-1.80035,-1.82748,-29.322,-523.2661,2.58631,-4.19136,,8.47233,0,,0,53.76782,,-29.108,,-29.108,-507.8158,-27.718,-27.236,,,,0,,,133302.3,-57.58088,,227.1137,,-8.262,-47.97351,2.61278,84.56051,-43.475,-27.236,,-507.8158,,-676930.3,4.785,39.62207,0,43.475,,5.732,,5.765,49.786,-0.619,,0,-1.15408,-7.447,-27.061,-52.42182,-57.45132,20.64828
GT,23.77,4.296891,0.31294,16.62917,6.867423,62.21866,2.9111,1.00281,2000,5.70983,3.4875,-52.59727,28.0375,1.31309,118.2183,0.72718,132.13,3.5415,-6.03555,752,23.07196,255,1.779727,1193,396.3017,1.64265,-24,26.43204,-386,492,1.367589,242312.5,5.385427,3.96309,5580.818,425,189,3.137356,19.7375,-28.12508,5422,999,60.77866,4.84911,71.54895,9093.75,0,0.3678617,332,837,4.15679,15508,129,12098,17580,-881,0.254,2.355911,-78.89528,-389,78,1.587393,2.256192,2.25504
GS,220.74,24.59503,-52.4298,210.5605,26.15569,114.6262,20.12147,21.70269,13299,25.99234,319.0391,33.41095,6.94182,,283.1728,,653.3292,30.04463,0.55261,12012,68.45291,8660,20.16984,11132,8231.691,1.28859,-1485,137.2121,-6357,23341,19.76289,1254781,10.50168,,83241.52,3718,3419,0.9782181,221.2805,-15.34844,425543,11132,104.6883,26.15569,,253087.4,-7650,1.81255,265256,120503,,45925,43866,548263,973535,-3185,2.47,1.449669,14.89397,-964,-21006,0.99197,0.9925885,14.08237
